,precision,recall,f1-score,support
assumption,0.6666666666666666,0.56,0.6086956521739131,25.0
complete,0.5263157894736842,0.625,0.5714285714285714,16.0
extraction_error,0.8888888888888888,0.64,0.7441860465116279,25.0
logical_error,0.8,0.8,0.8,20.0
partially_complete,0.1,0.5,0.16666666666666666,2.0
accuracy,0.6477272727272727,0.6477272727272727,0.6477272727272727,0.6477272727272727
macro avg,0.5963742690058479,0.625,0.5781953873561558,88.0
weighted avg,0.7217038809144072,0.6477272727272727,0.6738435561741932,88.0
