,precision,recall,f1-score,support
assumption,0.43478260869565216,0.4,0.4166666666666667,25.0
complete,0.25,0.125,0.16666666666666666,16.0
extraction_error,0.5263157894736842,0.4,0.45454545454545453,25.0
logical_error,0.4,0.2,0.26666666666666666,20.0
partially_complete,0.03571428571428571,0.5,0.06666666666666667,2.0
accuracy,0.3068181818181818,0.3068181818181818,0.3068181818181818,0.3068181818181818
macro avg,0.32936253677672445,0.325,0.27424242424242423,88.0
weighted avg,0.4102146423370679,0.3068181818181818,0.33992768595041317,88.0
